300.00	460.00	99999.99
303.85	461.48	28583.22
307.70	462.96	14284.98
311.55	464.44	9515.96
315.39	465.92	7129.25
319.24	467.40	5695.47
323.09	468.89	4738.16
326.93	470.38	4053.13
330.78	471.87	3538.27
334.62	473.37	3136.88
338.46	474.88	2814.91
342.29	476.39	2550.72
346.13	477.90	2329.86
349.96	479.42	2142.35
353.79	480.95	1981.05
357.62	482.49	1840.72
361.44	484.04	1717.43
365.26	485.59	1608.20
369.07	487.16	1510.68
372.88	488.73	1423.03
376.69	490.32	1343.78
380.49	491.92	1271.73
384.29	493.53	1205.92
388.08	495.15	1145.54
391.86	496.79	1089.92
395.64	498.44	1038.49
399.41	500.10	990.78
403.18	501.79	946.38
406.93	503.49	904.95
410.68	505.20	866.19
414.42	506.93	829.84
418.16	508.69	795.68
421.88	510.46	763.50
425.59	512.25	733.15
429.30	514.06	704.45
432.99	515.89	677.29
436.67	517.75	651.55
440.34	519.63	627.11
444.00	521.53	603.88
447.65	523.46	581.78
451.28	525.42	560.74
454.89	527.40	540.68
458.49	529.41	521.54
462.08	531.44	503.27
465.65	533.51	485.83
469.20	535.61	469.15
472.73	537.73	453.21
476.24	539.89	437.96
479.73	542.09	423.38
483.21	544.31	409.42
486.65	546.57	396.07
490.08	548.87	383.30
493.48	551.21	371.08
496.85	553.58	359.39
500.20	555.99	348.21
503.51	558.44	337.53
506.80	560.93	327.33
510.05	563.46	317.59
513.28	566.03	308.30
516.46	568.65	299.44
519.62	571.31	291.02
522.73	574.01	283.00
525.80	576.76	275.39
528.83	579.55	268.18
531.82	582.39	261.36
534.76	585.28	254.92
537.66	588.22	248.85
540.51	591.20	243.14
543.30	594.23	237.81
546.05	597.31	232.82
548.74	600.44	228.19
551.37	603.61	223.91
553.94	606.83	219.97
556.45	610.10	216.37
558.90	613.42	213.11
561.28	616.78	210.17
563.60	620.19	207.57
565.85	623.65	205.30
568.03	627.15	203.35
570.14	630.69	201.73
572.17	634.28	200.42
574.14	637.91	199.44
576.02	641.57	198.77
577.83	645.28	198.41
580.00	650.00	198.37
581.22	652.80	207.97
582.80	656.61	222.16
584.30	660.45	237.98
585.74	664.31	255.66
587.12	668.19	275.50
588.44	672.10	297.88
589.71	676.02	323.26
590.93	679.96	352.28
592.10	683.92	385.77
593.22	687.88	424.85
594.31	691.86	471.07
595.37	695.85	526.64
596.39	699.84	594.83
597.38	703.84	680.65
598.36	707.85	792.21
599.31	711.86	943.52
600.24	715.88	1161.12
601.16	719.90	1502.02
602.06	723.92	2114.97
602.96	727.95	3549.14
603.86	731.97	10875.80
604.75	736.00	-10283.73
605.64	740.02	-3491.24
606.54	744.05	-2099.76
607.45	748.07	-1498.57
608.37	752.09	-1162.50
609.30	756.11	-947.33
610.25	760.12	-797.42
611.22	764.13	-686.73
612.22	768.13	-601.49
613.24	772.12	-533.69
614.29	776.11	-478.39
615.38	780.09	-432.37
616.51	784.05	-393.43
617.67	788.01	-360.04
618.89	791.95	-331.09
620.15	795.87	-305.74
621.46	799.78	-283.39
622.83	803.67	-263.55
624.26	807.54	-245.85
625.76	811.38	-230.01
627.32	815.20	-215.78
628.96	818.98	-202.97
630.67	822.73	-191.44
632.47	826.44	-181.06
634.35	830.11	-171.73
636.31	833.74	-163.36
638.37	837.31	-155.88
640.00	840.00	-151.91
642.76	844.29	-157.31
645.10	847.69	-163.53
647.52	851.03	-170.64
650.02	854.31	-178.71
652.59	857.53	-187.82
655.24	860.69	-198.08
657.95	863.80	-209.60
660.72	866.85	-222.55
663.54	869.86	-237.12
666.42	872.81	-253.54
669.35	875.71	-272.10
672.32	878.57	-293.18
675.33	881.39	-317.26
678.37	884.17	-344.97
681.45	886.91	-377.13
684.56	889.62	-414.86
687.70	892.30	-459.73
690.85	894.95	-513.95
694.04	897.57	-580.78
697.23	900.18	-665.23
700.45	902.76	-775.44
703.68	905.32	-925.46
706.92	907.87	-1141.94
710.17	910.41	-1482.16
713.43	912.94	-2096.05
716.69	915.46	-3539.81
719.95	917.98	-11046.38
723.22	920.50	10078.36
726.48	923.02	3482.78
729.74	925.54	2111.71
733.00	928.07	1517.83
736.25	930.61	1185.81
739.49	933.16	973.46
742.72	935.72	825.78
745.94	938.30	717.01
749.14	940.90	633.49
752.32	943.52	567.27
755.49	946.16	513.46
760.00	950.00	468.86
761.76	951.52	477.58
764.85	954.24	531.41
767.93	956.99	598.54
770.99	959.75	684.66
774.03	962.54	799.38
777.06	965.34	960.06
780.07	968.15	1201.84
783.08	970.98	1607.91
786.07	973.81	2434.75
789.07	976.64	5051.90
792.06	979.48	-59043.15
795.05	982.32	-4264.64
798.04	985.16	-2196.41
801.04	987.99	-1470.71
804.05	990.81	-1100.02
807.06	993.62	-874.66
810.09	996.41	-722.93
813.14	999.19	-613.67
816.21	1001.95	-531.13
819.29	1004.69	-466.52
822.40	1007.39	-414.54
825.54	1010.07	-371.80
828.71	1012.71	-336.06
831.91	1015.31	-305.74
835.14	1017.87	-279.73
838.41	1020.38	-257.20
841.72	1022.84	-237.56
845.07	1025.24	-220.34
848.47	1027.57	-205.17
851.92	1029.84	-191.77
855.41	1032.04	-179.93
858.95	1034.15	-169.46
862.54	1036.17	-160.23
866.18	1038.11	-152.11
870.00	1040.00	-145.12
873.62	1041.67	-150.20
877.41	1043.29	-156.69
881.24	1044.82	-164.14
885.11	1046.25	-172.65
889.01	1047.58	-182.32
892.94	1048.83	-193.28
896.89	1050.00	-205.69
900.87	1051.08	-219.74
904.87	1052.09	-235.69
908.88	1053.03	-253.85
912.91	1053.90	-274.63
916.96	1054.71	-298.54
921.01	1055.47	-326.29
925.07	1056.18	-358.80
929.14	1056.83	-397.36
933.22	1057.45	-443.81
937.30	1058.03	-500.80
941.39	1058.58	-572.38
945.48	1059.09	-665.05
949.57	1059.58	-789.82
953.67	1060.05	-967.09
957.77	1060.50	-1239.29
961.87	1060.94	-1711.51
965.97	1061.37	-2734.92
970.07	1061.79	-6644.21
974.18	1062.21	16234.17
978.28	1062.63	3688.16
982.38	1063.05	2089.64
986.48	1063.49	1461.44
990.58	1063.93	1125.32
994.68	1064.39	915.72
998.77	1064.87	772.33
1002.86	1065.37	667.93
1006.95	1065.89	588.46
1011.04	1066.45	525.88
1015.12	1067.03	475.31
1019.20	1067.65	433.57
1023.27	1068.31	398.55
1027.33	1069.01	368.76
